date_id,customer_id,sku_id,units,gross_revenue_lc,discount_lc,net_revenue_lc,actual_unit_cost_chf,currency_code,net_revenue_chf
20260101,7,SKU0012,3,28949.41,604.01,28345.4,3471.43,CHF,28409.09
20260101,9,SKU0006,2,30879.37,1366.63,29512.74,6247.56,CHF,29579.06
20260101,9,SKU0018,2,30821.49,0.0,30821.49,5420.97,CHF,30890.75
20260101,11,SKU0065,1,13679.47,0.0,13679.47,5168.47,CHF,13710.21
20260101,22,SKU0066,2,38220.99,0.0,38220.99,6947.88,EUR,36404.46
20260101,26,SKU0100,3,49766.65,0.0,49766.65,6118.62,EUR,47401.39
20260101,34,SKU0040,5,34913.32,0.0,34913.32,3302.06,GBP,39128.68
20260101,34,SKU0076,1,5320.92,0.0,5320.92,2775.1,GBP,5963.36
20260101,34,SKU0085,5,68657.06,0.0,68657.06,4904.76,GBP,76946.58
20260101,49,SKU0059,3,25810.09,0.0,25810.09,3735.77,EUR,24583.41
20260101,57,SKU0054,1,5645.95,0.0,5645.95,2338.23,EUR,5377.61
20260101,57,SKU0058,3,25810.09,0.0,25810.09,3532.77,EUR,24583.41
20260101,58,SKU0053,2,17206.73,0.0,17206.73,3599.88,EUR,16388.95
20260101,58,SKU0074,5,51493.86,0.0,51493.86,4208.22,EUR,49046.51
20260101,81,SKU0024,1,22450.07,0.0,22450.07,6826.13,EUR,21383.09
20260101,81,SKU0074,1,10087.36,0.0,10087.36,4203.66,EUR,9607.94
20260101,92,SKU0017,3,54799.85,0.0,54799.85,4726.46,USD,48033.16
20260101,97,SKU0020,3,50951.39,0.0,50951.39,4796.65,USD,44659.91
20260101,97,SKU0065,3,45227.41,0.0,45227.41,5289.07,USD,39642.73
20260101,97,SKU0067,1,20975.02,0.0,20975.02,6791.78,USD,18385.02
20260101,150,SKU0006,2,31497.12,0.0,31497.12,6138.06,USD,27607.86
20260101,150,SKU0049,2,10837.29,0.0,10837.29,2166.06,USD,9499.1
20260101,151,SKU0020,3,47157.14,0.0,47157.14,4912.24,USD,41334.18
