date_id,store_id,sku_id,units,gross_revenue_lc,discount_lc,net_revenue_lc,actual_unit_cost_chf,currency_code,net_revenue_chf
20260101,1,SKU0008,1,14578.83,0.0,14578.83,4146.13,CHF,14611.59
20260101,1,SKU0069,2,28130.62,0.0,28130.62,3916.73,CHF,28193.83
20260101,2,SKU0018,1,22173.74,0.0,22173.74,5504.32,CHF,22223.56
20260101,2,SKU0093,1,33073.01,0.0,33073.01,7326.66,CHF,33147.33
20260101,5,SKU0100,1,23771.24,0.0,23771.24,6117.66,CHF,23824.65
20260101,18,SKU0066,2,58801.52,0.0,58801.52,7067.58,EUR,56006.86
20260101,20,SKU0016,1,27377.19,0.0,27377.19,5539.79,EUR,26076.03
20260101,20,SKU0077,1,15100.84,0.0,15100.84,4079.8,EUR,14383.14
20260101,21,SKU0100,1,25521.36,0.0,25521.36,6142.67,EUR,24308.41
20260101,27,SKU0031,1,22774.01,0.0,22774.01,4391.45,USD,19961.88
20260101,31,SKU0039,2,26857.4,0.0,26857.4,3283.27,USD,23541.05
20260101,31,SKU0097,1,38498.49,0.0,38498.49,7603.38,USD,33744.7
20260101,32,SKU0041,1,8812.57,0.0,8812.57,2100.52,USD,7724.39
20260101,35,SKU0091,1,27670.81,0.0,27670.81,5447.19,USD,24254.02
20260101,37,SKU0024,1,36438.4,0.0,36438.4,6857.44,USD,31938.99
20260101,38,SKU0079,1,40771.33,0.0,40771.33,7426.12,USD,35736.89
20260101,46,SKU0066,1,230236.54,0.0,230236.54,6961.76,CNY,27894.08
20260101,46,SKU0070,2,236508.53,0.0,236508.53,4089.26,CNY,28653.95
20260101,48,SKU0075,2,32745.32,0.0,32745.32,4339.23,USD,28701.93
20260101,48,SKU0076,2,20465.83,0.0,20465.83,2727.2,USD,17938.71
20260101,49,SKU0059,2,27354.7,0.0,27354.7,3742.35,USD,23976.94
20260101,52,SKU0015,1,29682.94,0.0,29682.94,5166.64,USD,26017.69
20260101,54,SKU0075,1,16372.66,0.0,16372.66,4293.4,USD,14350.96
20260102,2,SKU0044,1,10645.23,0.0,10645.23,3098.18,CHF,10668.22
20260102,2,SKU0084,1,26114.79,0.0,26114.79,5834.34,CHF,26171.2
20260102,3,SKU0034,1,7217.29,0.0,7217.29,2002.95,CHF,7232.88
20260102,5,SKU0029,1,31334.29,0.0,31334.29,7173.01,CHF,31401.97
20260102,5,SKU0071,2,18479.05,0.0,18479.05,2481.83,CHF,18518.96
20260102,8,SKU0006,1,23890.07,0.0,23890.07,6173.26,EUR,22771.54
20260102,13,SKU0093,1,30255.05,0.0,30255.05,7387.41,GBP,33913.34
20260102,13,SKU0093,2,60510.1,0.0,60510.1,7535.2,GBP,67826.68
20260102,14,SKU0066,1,25051.33,0.0,25051.33,7010.33,GBP,28080.41
20260102,16,SKU0095,1,30255.05,0.0,30255.05,7818.94,GBP,33913.34
20260102,18,SKU0049,2,16439.84,0.0,16439.84,2186.9,EUR,15670.13
20260102,23,SKU0070,1,15125.62,0.0,15125.62,4156.57,EUR,14417.44
20260102,23,SKU0099,1,35566.21,0.0,35566.21,8233.35,EUR,33901.0
20260102,24,SKU0016,1,27422.11,0.0,27422.11,5439.21,EUR,26138.21
20260102,24,SKU0085,1,24396.19,0.0,24396.19,4908.78,EUR,23253.96
20260102,29,SKU0044,1,12347.58,0.0,12347.58,3050.35,USD,10847.42
20260102,42,SKU0005,2,7874010.52,0.0,7874010.52,6460.98,JPY,44968.47
20260102,42,SKU0075,1,2492651.58,0.0,2492651.58,4384.9,JPY,14235.53
