year,month,channel_id,collection,geo_id,budgeted_units,budgeted_price_chf,budgeted_unit_cost_chf,budgeted_revenue_chf,new_store_uplift_flag
2026,01,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,01,2,Atelier,19,1.913308606,29113.62984,6636.059302,55703.35851,FALSE
2026,02,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,02,2,Atelier,19,1.998515122,29113.62984,6636.059302,58184.02949,FALSE
2026,03,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,03,2,Atelier,19,2.083721638,29113.62984,6636.059302,60664.70046,FALSE
2026,04,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,04,2,Atelier,19,2.168928154,29113.62984,6636.059302,63145.37143,FALSE
2026,05,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,05,2,Atelier,19,2.25413467,29113.62984,6636.059302,65626.0424,FALSE
2026,06,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,06,2,Atelier,19,2.339341186,29113.62984,6636.059302,68106.71337,FALSE
2026,07,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,07,2,Atelier,19,2.424547703,29113.62984,6636.059302,70587.38435,FALSE
2026,08,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,08,2,Atelier,19,2.509754219,29113.62984,6636.059302,73068.05532,FALSE
2026,09,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,09,2,Atelier,19,2.594960735,29113.62984,6636.059302,75548.72629,FALSE
2026,10,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,10,2,Atelier,19,2.680167251,29113.62984,6636.059302,78029.39726,FALSE
2026,11,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,11,2,Atelier,19,2.765373767,29113.62984,6636.059302,80510.06823,FALSE
2026,12,1,Atelier,19,0,29113.62984,6636.059302,0,FALSE
2026,12,2,Atelier,19,2.850580283,29113.62984,6636.059302,82990.73921,FALSE
2026,01,1,Atelier,28,2.52329734,29113.62984,6636.059302,73462.34473,FALSE
2026,01,2,Atelier,28,3.255867535,29113.62984,6636.059302,94790.12223,FALSE
2026,02,1,Atelier,28,2.582896894,29113.62984,6636.059302,75197.5041,FALSE
2026,02,2,Atelier,28,3.332770186,29113.62984,6636.059302,97029.03755,FALSE
2026,03,1,Atelier,28,2.642496449,29113.62984,6636.059302,76932.66348,FALSE
2026,03,2,Atelier,28,3.409672837,29113.62984,6636.059302,99267.95287,FALSE
2026,04,1,Atelier,28,2.702096004,29113.62984,6636.059302,78667.82285,FALSE
2026,04,2,Atelier,28,3.486575489,29113.62984,6636.059302,101506.8682,FALSE
2026,05,1,Atelier,28,2.761695558,29113.62984,6636.059302,80402.98222,FALSE
2026,05,2,Atelier,28,3.56347814,29113.62984,6636.059302,103745.7835,FALSE
2026,06,1,Atelier,28,2.821295113,29113.62984,6636.059302,82138.1416,FALSE
2026,06,2,Atelier,28,3.640380791,29113.62984,6636.059302,105984.6988,FALSE
2026,07,1,Atelier,28,2.880894668,29113.62984,6636.059302,83873.30097,FALSE
2026,07,2,Atelier,28,3.717283442,29113.62984,6636.059302,108223.6142,FALSE
2026,08,1,Atelier,28,2.940494223,29113.62984,6636.059302,85608.46035,FALSE
2026,08,2,Atelier,28,3.794186094,29113.62984,6636.059302,110462.5295,FALSE
2026,09,1,Atelier,28,3.000093777,29113.62984,6636.059302,87343.61972,FALSE
2026,09,2,Atelier,28,3.871088745,29113.62984,6636.059302,112701.4448,FALSE
2026,10,1,Atelier,28,3.059693332,29113.62984,6636.059302,89078.7791,FALSE
2026,10,2,Atelier,28,3.947991396,29113.62984,6636.059302,114940.3601,FALSE
2026,11,1,Atelier,28,3.119292887,29113.62984,6636.059302,90813.93847,FALSE
2026,11,2,Atelier,28,4.024894047,29113.62984,6636.059302,117179.2755,FALSE
2026,12,1,Atelier,28,3.178892441,29113.62984,6636.059302,92549.09785,FALSE
2026,12,2,Atelier,28,4.101796699,29113.62984,6636.059302,119418.1908,FALSE
2026,01,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,01,2,Celeste,19,2.057816665,23436.22485,5419.715976,48227.45408,FALSE
2026,02,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,02,2,Celeste,19,2.133405943,23436.22485,5419.715976,49998.98138,FALSE
2026,03,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,03,2,Celeste,19,2.208995221,23436.22485,5419.715976,51770.50869,FALSE
2026,04,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,04,2,Celeste,19,2.284584498,23436.22485,5419.715976,53542.036,FALSE
2026,05,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,05,2,Celeste,19,2.360173776,23436.22485,5419.715976,55313.5633,FALSE
2026,06,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,06,2,Celeste,19,2.435763054,23436.22485,5419.715976,57085.09061,FALSE
2026,07,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,07,2,Celeste,19,2.511352331,23436.22485,5419.715976,58856.61791,FALSE
2026,08,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,08,2,Celeste,19,2.586941609,23436.22485,5419.715976,60628.14522,FALSE
2026,09,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,09,2,Celeste,19,2.662530886,23436.22485,5419.715976,62399.67253,FALSE
2026,10,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,10,2,Celeste,19,2.738120164,23436.22485,5419.715976,64171.19983,FALSE
2026,11,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,11,2,Celeste,19,2.813709442,23436.22485,5419.715976,65942.72714,FALSE
2026,12,1,Celeste,19,0,23436.22485,5419.715976,0,FALSE
2026,12,2,Celeste,19,2.889298719,23436.22485,5419.715976,67714.25445,FALSE
2026,01,1,Lumina,19,0,22963.84669,5596.90953,0,FALSE
2026,01,2,Lumina,19,1.674066445,22963.84669,5596.90953,38443.00517,FALSE
2026,02,1,Lumina,19,0,22963.84669,5596.90953,0,FALSE
2026,02,2,Lumina,19,1.516720087,22963.84669,5596.90953,34829.72755,FALSE
2026,03,1,Lumina,19,0,22963.84669,5596.90953,0,FALSE
